,route,order_date,order_flow
0,上海-南京,2015-01-01,0.0
1,上海-南京,2015-01-02,30.0
2,上海-南京,2015-01-03,3.0
3,上海-南京,2015-01-04,1.0
4,上海-南京,2015-01-05,88.0
5,上海-南京,2015-01-06,1.0
6,上海-南京,2015-01-07,21.0
7,上海-南京,2015-01-08,35.0
8,上海-南京,2015-01-09,31.0
9,上海-南京,2015-01-10,31.0
10,上海-南京,2015-01-11,2.0
11,上海-南京,2015-01-12,187.0
12,上海-南京,2015-01-13,131.0
13,上海-南京,2015-01-14,1.0
14,上海-南京,2015-01-15,38.0
15,上海-南京,2015-01-16,102.0
16,上海-南京,2015-01-17,1.0
17,上海-南京,2015-01-18,0.0
18,上海-南京,2015-01-19,16.0
19,上海-南京,2015-01-20,62.0
20,上海-南京,2015-01-21,124.0
21,上海-南京,2015-01-22,30.0
22,上海-南京,2015-01-23,35.0
23,上海-南京,2015-01-24,10.0
24,上海-南京,2015-01-25,2.0
25,上海-南京,2015-01-26,2.0
26,上海-南京,2015-01-27,4.0
27,上海-南京,2015-01-28,38.0
28,上海-南京,2015-01-29,13.0
29,上海-南京,2015-01-30,46.0
30,上海-南京,2015-01-31,32.0
31,上海-南京,2015-02-01,0.0
32,上海-南京,2015-02-02,39.0
33,上海-南京,2015-02-03,83.0
34,上海-南京,2015-02-04,66.0
35,上海-南京,2015-02-05,10.0
36,上海-南京,2015-02-06,6.0
37,上海-南京,2015-02-07,3.0
38,上海-南京,2015-02-08,0.0
39,上海-南京,2015-02-09,39.0
40,上海-南京,2015-02-10,24.0
41,上海-南京,2015-02-11,64.0
42,上海-南京,2015-02-12,26.0
43,上海-南京,2015-02-13,2.0
44,上海-南京,2015-02-14,12.0
45,上海-南京,2015-02-15,17.0
46,上海-南京,2015-02-16,4.0
47,上海-南京,2015-02-17,64.0
48,上海-南京,2015-02-18,0.0
49,上海-南京,2015-02-19,0.0
50,上海-南京,2015-02-20,0.0
51,上海-南京,2015-02-21,0.0
52,上海-南京,2015-02-22,0.0
53,上海-南京,2015-02-23,2.0
54,上海-南京,2015-02-24,0.0
55,上海-南京,2015-02-25,37.0
56,上海-南京,2015-02-26,12.0
57,上海-南京,2015-02-27,50.0
58,上海-南京,2015-02-28,136.0
59,上海-南京,2015-03-01,7.0
60,上海-南京,2015-03-02,8.0
61,上海-南京,2015-03-03,15.0
62,上海-南京,2015-03-04,23.0
63,上海-南京,2015-03-05,63.0
64,上海-南京,2015-03-06,0.0
65,上海-南京,2015-03-07,6.0
66,上海-南京,2015-03-08,19.0
67,上海-南京,2015-03-09,1.0
68,上海-南京,2015-03-10,13.0
69,上海-南京,2015-03-11,48.0
70,上海-南京,2015-03-12,50.0
71,上海-南京,2015-03-13,8.0
72,上海-南京,2015-03-14,0.0
73,上海-南京,2015-03-15,0.0
74,上海-南京,2015-03-16,453.0
75,上海-南京,2015-03-17,6.0
76,上海-南京,2015-03-18,0.0
77,上海-南京,2015-03-19,595.0
78,上海-南京,2015-03-20,72.0
79,上海-南京,2015-03-21,17.0
80,上海-南京,2015-03-22,15.0
81,上海-南京,2015-03-23,713.0
82,上海-南京,2015-03-24,416.0
83,上海-南京,2015-03-25,5.0
84,上海-南京,2015-03-26,19.0
85,上海-南京,2015-03-27,514.0
86,上海-南京,2015-03-28,3.0
87,上海-南京,2015-03-29,5.0
88,上海-南京,2015-03-30,8.0
89,上海-南京,2015-03-31,16.0
90,上海-南京,2015-04-01,61.0
91,上海-南京,2015-04-02,54.0
92,上海-南京,2015-04-03,46.0
93,上海-南京,2015-04-04,52.0
94,上海-南京,2015-04-05,27.0
95,上海-南京,2015-04-06,17.0
96,上海-南京,2015-04-07,525.0
97,上海-南京,2015-04-08,133.0
98,上海-南京,2015-04-09,86.0
99,上海-南京,2015-04-10,1386.0
100,上海-南京,2015-04-11,12.0
101,上海-南京,2015-04-12,1.0
102,上海-南京,2015-04-13,24.0
103,上海-南京,2015-04-14,14.0
104,上海-南京,2015-04-15,39.0
105,上海-南京,2015-04-16,60.0
106,上海-南京,2015-04-17,14.0
107,上海-南京,2015-04-18,3.0
108,上海-南京,2015-04-19,13.0
109,上海-南京,2015-04-20,28.0
110,上海-南京,2015-04-21,213.0
111,上海-南京,2015-04-22,221.0
112,上海-南京,2015-04-23,234.0
113,上海-南京,2015-04-24,10.0
114,上海-南京,2015-04-25,15.0
115,上海-南京,2015-04-26,201.0
116,上海-南京,2015-04-27,218.0
117,上海-南京,2015-04-28,246.0
118,上海-南京,2015-04-29,391.0
