,route,order_date,order_flow
0,上海-上海,2015-01-01,0.0
1,上海-上海,2015-01-02,161.0
2,上海-上海,2015-01-03,61.0
3,上海-上海,2015-01-04,208.0
4,上海-上海,2015-01-05,419.0
5,上海-上海,2015-01-06,1023.0
6,上海-上海,2015-01-07,252.0
7,上海-上海,2015-01-08,329.0
8,上海-上海,2015-01-09,472.0
9,上海-上海,2015-01-10,227.0
10,上海-上海,2015-01-11,22.0
11,上海-上海,2015-01-12,119.0
12,上海-上海,2015-01-13,328.0
13,上海-上海,2015-01-14,363.0
14,上海-上海,2015-01-15,459.0
15,上海-上海,2015-01-16,386.0
16,上海-上海,2015-01-17,201.0
17,上海-上海,2015-01-18,51.0
18,上海-上海,2015-01-19,525.0
19,上海-上海,2015-01-20,231.0
20,上海-上海,2015-01-21,383.0
21,上海-上海,2015-01-22,1231.0
22,上海-上海,2015-01-23,3242.0
23,上海-上海,2015-01-24,1807.0
24,上海-上海,2015-01-25,221.0
25,上海-上海,2015-01-26,1208.0
26,上海-上海,2015-01-27,2792.0
27,上海-上海,2015-01-28,2465.0
28,上海-上海,2015-01-29,2886.0
29,上海-上海,2015-01-30,1588.0
30,上海-上海,2015-01-31,2352.0
31,上海-上海,2015-02-01,3.0
32,上海-上海,2015-02-02,389.0
33,上海-上海,2015-02-03,440.0
34,上海-上海,2015-02-04,160.0
35,上海-上海,2015-02-05,266.0
36,上海-上海,2015-02-06,547.0
37,上海-上海,2015-02-07,317.0
38,上海-上海,2015-02-08,64.0
39,上海-上海,2015-02-09,327.0
40,上海-上海,2015-02-10,277.0
41,上海-上海,2015-02-11,165.0
42,上海-上海,2015-02-12,185.0
43,上海-上海,2015-02-13,158.0
44,上海-上海,2015-02-14,31.0
45,上海-上海,2015-02-15,191.0
46,上海-上海,2015-02-16,97.0
47,上海-上海,2015-02-17,144.0
48,上海-上海,2015-02-18,102.0
49,上海-上海,2015-02-19,10.0
50,上海-上海,2015-02-20,0.0
51,上海-上海,2015-02-21,0.0
52,上海-上海,2015-02-22,0.0
53,上海-上海,2015-02-23,0.0
54,上海-上海,2015-02-24,1.0
55,上海-上海,2015-02-25,109.0
56,上海-上海,2015-02-26,286.0
57,上海-上海,2015-02-27,366.0
58,上海-上海,2015-02-28,248.0
59,上海-上海,2015-03-01,63.0
60,上海-上海,2015-03-02,572.0
61,上海-上海,2015-03-03,179.0
62,上海-上海,2015-03-04,397.0
63,上海-上海,2015-03-05,399.0
64,上海-上海,2015-03-06,471.0
65,上海-上海,2015-03-07,76.0
66,上海-上海,2015-03-08,54.0
67,上海-上海,2015-03-09,365.0
68,上海-上海,2015-03-10,332.0
69,上海-上海,2015-03-11,168.0
70,上海-上海,2015-03-12,260.0
71,上海-上海,2015-03-13,220.0
72,上海-上海,2015-03-14,83.0
73,上海-上海,2015-03-15,0.0
74,上海-上海,2015-03-16,201.0
75,上海-上海,2015-03-17,261.0
76,上海-上海,2015-03-18,236.0
77,上海-上海,2015-03-19,413.0
78,上海-上海,2015-03-20,396.0
79,上海-上海,2015-03-21,211.0
80,上海-上海,2015-03-22,18.0
81,上海-上海,2015-03-23,270.0
82,上海-上海,2015-03-24,212.0
83,上海-上海,2015-03-25,270.0
84,上海-上海,2015-03-26,328.0
85,上海-上海,2015-03-27,253.0
86,上海-上海,2015-03-28,151.0
87,上海-上海,2015-03-29,30.0
88,上海-上海,2015-03-30,182.0
89,上海-上海,2015-03-31,220.0
90,上海-上海,2015-04-01,357.0
91,上海-上海,2015-04-02,209.0
92,上海-上海,2015-04-03,357.0
93,上海-上海,2015-04-04,5.0
94,上海-上海,2015-04-05,13.0
95,上海-上海,2015-04-06,9.0
96,上海-上海,2015-04-07,202.0
97,上海-上海,2015-04-08,173.0
98,上海-上海,2015-04-09,512.0
99,上海-上海,2015-04-10,156.0
100,上海-上海,2015-04-11,145.0
101,上海-上海,2015-04-12,6.0
102,上海-上海,2015-04-13,416.0
103,上海-上海,2015-04-14,370.0
104,上海-上海,2015-04-15,363.0
105,上海-上海,2015-04-16,235.0
106,上海-上海,2015-04-17,202.0
107,上海-上海,2015-04-18,65.0
108,上海-上海,2015-04-19,28.0
109,上海-上海,2015-04-20,238.0
110,上海-上海,2015-04-21,397.0
111,上海-上海,2015-04-22,299.0
112,上海-上海,2015-04-23,386.0
113,上海-上海,2015-04-24,202.0
114,上海-上海,2015-04-25,85.0
